,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,"DOMParser.parseFromString()",,"y",,,,"no XML. Do people use this to receive data? Having tamed the Document object to allow functional private docs, turning this back on should be safe if people use it"
,"Element.tagname","y",,,,,
,"Element.addEventListener()",,,"the event type must be validated. Coerce to pure text. ",,,"The API allows creation of new event types, which is irrelevant in this taming analysis because synthetic events have been abolished. "
,"Element.attachEvent()",,,"event type must be validated. Coerce to pure text.",,,
,"Element.detachEvent()",,,"event type must be validated. Coerce to pure text.",,,
,"Element.dispatchEvent()",,"y",,,,"replace with caja.makeEventDispatcher"
,"Element.getAttribute()","y",,,,,
,"Element.getAttributeNS()",,"y",,,,
,"Element.getAttributeNode()",,"y",,,,
,"Element.getAttributeNodeNS()",,"y",,,,
,"Element.getElementsByTagName()","y",,,,,
,"Element.getElementsByTagNameNS()",,"y",,,,
,"Element.hasAttribute()","y",,,,,
,"Element.hasAttributeNS()",,"y",,,,
,"Element.removeAttribute()","y",,,,,
,"Element.removeAttributeNode()",,"y",,,,
,"Element.removeAttributeNS()",,"y",,,,
,"Element.removeEventListener()",,,"event type must be validated.Coerce to pure text.",,,
,"Element.setAttribute()",,,"sanitize value to pure text",,,
,"Element.setAttributeNode()",,"y",,,,
,"Element.setAttributeNodeNS()",,"y",,,,
,"Element.setAttributeNS()",,"y",,,,
,,,,,,,
,"Event",,,,,,"Notification of each event listener is placed separately on the event queue. Stopping propagation causes the object managing the placement of listeners on the event queue to stop queuing."
,"Event.bubbles","y",,,,,
,"Event.cancelable","y",,,,,
,"Event.currentTarget",,"y",,,,
,"Event.eventPhase","y",,,,,
,"Event.target",,"y",,,,
,"Event.timeStamp","y",,,,,
,"Event.type","y",,,,,
,"Event.altKey",,,"readonly",,,
,"Event.button",,,"readonly",,,
,"Event.cancelBubble","y",,,,,
,"Event.clientX",,,"readonly",,,
,"Event.clientY",,,"readonly",,,
,"Event.ctrlKey",,,"readonly",,,
,"Event.fromElement",,"y",,,,
,"Event.keyCode",,,"readonly",,,
,"Event.offsetX",,,"readonly",,,
,"Event.offsetY",,,"readonly",,,
,"Event.returnValue","y",,,,,
,"Event.screenX",,,"readonly",,,
,"Event.screenY",,,"readonly",,,
,"Event.shiftKey",,,"readonly",,,
,"Event.srcElement",,"y",,,,
,"Event.toElement",,"y",,,,
,"Event.type",,,"readonly",,,
,"Event.x",,,"readonly",,,
,"Event.y",,,"readonly",,,
,"Event.initEvent",,"y","event type must be validated against a list of built-in event types. Always set can Bubble to false.",,,"Events with names of your own choosing? If this is to be supported, the validations for the other event functions need to be re-assessed. Such custom events cannot be triggered without synthetic event dispatching, which would strongly reduce the utility anyway in a caja context. Here, we recommend shutting off the ability to do custom event handlers. What does bubbling do? Sounds like a possibly surprising avenue of communication. Shut off until further examination shows it to be safe. Since synthetic events are shut off in this version of the taming, initEvent cannot be properly used anyway."
,"Event.preventDefault()","y",,,,,
,"Event.stopPropagation()","y",,,,,"will it cause programmer surprise to have things propagate or to not propagate? Given that in JavaScript, stopping propagation is possible, it seems a little less surprising that propagation can be stopped. So leave this turned on."
,"Event.sealedTarget()",,,,"y",,"returns a sealed version of Event.target, which can be unsealed using node.unseal(sealedChildNode)"
,"Event.sealedSrcElement()",,,,"y",,"returns a sealed version of Event.srcElement, which can be unsealed using node.unseal(sealedChildNode)"
,"Event.sealedToElement()",,,,"y",,"returns a sealed version of Event.toElement, which can be unsealed using node.unseal(sealedChildNode)"
,"Event.sealedFromElement()",,,,"y",,"returns a sealed version of Event.fromElement, which can be unsealed using node.unseal(sealedChildNode)"
,"Event.sealedCurrentTarget()",,,,"y",,"returns a sealed version of Event.currentTarget, which can be unsealed using node.unseal(sealedChildNode)"
,"Event.focusOnce(node)",,,,"y",,"Supplies a one-time-only authority, revoked at the end of the event, to move focus to a node, using the algorithm described in powerbox.makeFocusManager"
,,,,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"ExternalInterface.addCallBack()",,"y",,,,"if you interface to actionscript, security results are non-determinable."
,"ExternalInterface.call()",,"y",,,,
,,,,,,,
,"FlashPlayer.*",,"y",,,,"interface to flash yields non-determinable security consequences"
,,,,,,,
,"Form.acceptCharset",,,"readonly",,,"Form is the original powerful mechanism for stealing data and authority. It would seem we have to deny by default the creation of Forms. The sanitizer for innerHTML must scrub any attempt to write a form tag. See powerbox.makeTransmitterMaker()"
,"Form.elements","y",,,,,
,"Form.length","y",,,,,
,"Form.action",,,"readonly",,,
,"Form.enctype",,,"readonly",,,
,"Form.method",,,"readonly",,,
,"Form.name",,,"readonly",,,
,"Form.target",,,"readonly",,,
,"Form.reset()","y",,,,,
,"Form.submit()","y",,,,,
,"Form.onreset","y",,,,,
,"Form.onsubmit","y",,,,,
,"Form.setTabIndex(element, index)",,,,"y",,"If the specified element is a part of the form, this method sets the tabIndex of the element. Replaces the editable selectedIndex property on the element"
,,,,,,,
,,,,,,,
,"Frame.*",,,,,,"Disallow creation and interaction with frames. Use Iframes if necessary. See powerbox.makeIFrameMaker"
,,,,,,,
,"History.back()","y",,,,,
,"History.forward()","y",,,,,
,"History.go()",,,"accept only integers, not strings",,,
,,,,,,,
,"HTMLCollection.length","y",,,,,
,"HTMLCollection.item()","y",,,,,
,"HTMLCollection.namedItem()","y",,,,,"Do we need to supply a variant of namedItem that will search for names with module suffixes (from getElementbyId)? I think not, but it is worth watching for counterexamples."
,,,,,,,
,"HTMLDocument.all",,"y",,,,"According to O'Reilly javascript Definitive Guide Edition 5, this is superceded. Turning it on if required should not be an issue."
,"HTMLDocument.anchors","y",,,,,
,"HTMLDocument.applets",,"y",,,,"If there are applets, the security consequences are undetermined."
,"HTMLDocument.body","y",,,,,
,"HTMLDocument.cookie","y",,,,,
,"HTMLDocument.domain",,,"readonly",,,"Before allowing this to be edited to do the traditional relaxing of the domain policy, incessantly investigate explicit authorization strategies. In principle, setting this should be useless to the module anyway, because the module can't reach out and touch any domain at all without an explicit authorization. "
,"HTMLDocument.forms","y",,,,,
,"HTMLDocument.images","y",,,,,
,"HTMLDocument.lastModified","y",,,,,
,"HTMLDocument.links","y",,,,,
,"HTMLDocument.referrer",,"y",,,,"Just because you have the document, you do not necessarily deserve the authority to know where the user came from."
,"HTMLDocument.title","y",,,,,
,"HTMLDocument.URL","y",,,,,
,"HTMLDocument.close()",,"y",,,,
,"HTMLDocument.getElementsByName()","y",,,,,
,"HTMLDocument.open()",,"y",,,,
,"HTMLDocument.write()",,"y",,,,"Ensuring that only sanitized html is written with write(), in all the corner cases, is so complex that it represents a security risk just because of the complexity."
,"HTMLDocument.writeln()",,"y",,,,
,,,,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"HTMLElement.className",,,"the class must be rewritten according to the algorithm described in the Appendix",,,
,"HTMLElement.currentStyle",,,"readonly. If the element is an anchor, the CSS2Properties object returned by this shall not include the color specification ",,,"The color informatin must be stripped to prevent leak of the information on where the user has browsed)."
,"HTMLElement.dir","y",,,,,
,"HTMLElement.id",,,"the id must be written and stripped with module namespace information concatenated, as described in the Appendix.",,,
,"HTMLElement.innerHTML",,,"The HTML must be stripped to be safe. This includes correcting ids and classes and anchors according to the rules described in the Appendix.",,,
,"HTMLElement.lang","y",,,,,
,"HTMLElement.offsetHeight","y",,,,,
,"HTMLElement.offsetWidth","y",,,,,
,"HTMLElement.offsetLeft","y",,,,,
,"HTMLElement.offsetTop","y",,,,,
,"HTMLElement.offsetParent",,"y",,,,"any access to a parent, especially when the parent may be the document, as is common with this, must be forbidden."
,"HTMLElement.scrollHeight","y",,,,,
,"HTMLElement.scrollWidth","y",,,,,
,"HTMLElement.scrollLeft","y",,,,,
,"HTMLElement.scrollTop","y",,,,,
,"HTMLElement.style","y",,,,,
,"HTMLElement.title","y",,,,,
,"HTMLElement.scrollIntoView",,"y",,,,"needs a solution just as anchor.focus() needs a solution. See powerbox.makeFocusManager"
,"HTMLElement.onclick","y",,,,,
,"HTMLElement.ondblclick","y",,,,,
,"HTMLElement.onkeydown","y",,,,,
,"HTMLElement.onkeypress","y",,,,,
,"HTMLElement.onkeyup","y",,,,,
,"HTMLElement.onmousedown","y",,,,,
,"HTMLElement.onmousemove","y",,,,,
,"HTMLElement.onmouseout","y",,,,,
,"HTMLElement.onmouseover","y",,,,,
,"HTMLElement.onmouseup","y",,,,,
,,,,,,,
,"IFrame",,,,,,"If a module can set src on an iframe, he can communicate with a site of his choosing. Furthermore, if the module holds an Iframe reference, he can get the contentDocument, making it a 2-way comm system. See powerbox.makeIFrameMaker."
,"IFrame.contentDocument","y",,,,,
,"IFrame.src",,"y",,,,"see powerbox.makeIFrameMaker"
,"IFrame.align",,"y",,,,"deprecated"
,"IFrame.frameBorder",,,"valid values only",,,
,"IFrame.height",,,"valid values: numbers, percents",,,
,"IFrame.longDesc",,"y",,,,"could be used for communication"
,"IFrame.marginHeight",,,"valid values: numbers, percents",,,
,"IFrame.marginWidth",,,"valid values: numbers, percents",,,
,"IFrame.name",,"y",,,,"enables complex namespace problems"
,"IFrame.scrolling",,,"valid values: auto, yes, no",,,
,"IFrame.width",,,"valid values: numbers, percents",,,
,,,,,,,
,,,,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,,,,,,,
,"Image.newImage()","y",,,,,
,"Image.name",,"y",,,,"Use the id for identifying these objects; the ids are already well-handled in caja"
,"Image.src",,"y",,,,"I believe that images allow 2-way communication. Construction of image objects is now in the powerbox.DomainSendReceiver "
,"Image.align",,"y",,,,"deprecated"
,"Image.alt","y",,,,,
,"Image.border",,"y",,,,"deprecated"
,"Image.height","y",,,,,
,"Image.hspace",,"y",,,,"deprecated"
,"Image.isMap",,"y",,,,"what are the security implications of this?"
,"Image.longDesc",,"y",,,,"Looks like this is another uri field that will communicate with the outside to fetch a value"
,"Image.useMap",,"y",,,,"what are the security implications of this?"
,"Image.vspace",,"y",,,,"deprecated"
,"Image.width","y",,,,,
,"Image.onabort","y",,,,,
,"Image.onerror","y",,,,,
,"Image.onload","y",,,,,
,,,,,,,
,"Input.accept","y",,,,,
,"Input.accessKey",,"y",,,,"can be used to highjack user behavior from another module"
,"Input.align",,"y",,,,"deprecated"
,"Input.alt","y",,,,,
,"Input.checked","y",,,,,
,"Input.defaultChecked","y",,,,,
,"Input.defaultValue","y",,,,,
,"Input.disabled","y",,,,,
,"Input.form","y",,,,,
,"Input.maxLength","y",,,,,
,"Input.name","y",,,,,
,"Input.readOnly","y",,,,,
,"Input.size","y",,,,,
,"Input.src",,"y",,,,"can be used for external comm."
,"Input.tabIndex",,"y",,,,"can be used for hijacking"
,"Input.type",,,"validate for good value: button, checkbox, file, hidden, password, radio, reset, submit, text. Note that ""image"" is not considered valid value here.",,,"Image can comm. If we need to allow image types of input fields, they can be added to the powerbox.DomainSendReceiver's list of objects. There is an interesting question with submit types: should they be allowed? The submit type is not dangerous unless it is part of a form and we disallow manufacture of form nodes except via the powerbox. Current answer: allow ambient construction of submit type inputs, depend on controlling form objects for security. "
,"Input.useMap",,"y",,,,"can this comm?"
,"Input.value","y",,,,,
,"Input.blur()","y",,,,,
,"Input.click()",,"y",,,,"you can always call the onclick handler explicitly if you have a reference to it, but you cannot synthesize human action without special authorization."
,"Input.focus()",,"y",,,,
,"Input.select()","y",,,,,
,"Input.onblur","y",,,,,
,"Input.onchange","y",,,,,
,"Input.onclick","y",,,,,
,"Input.onfocus","y",,,,,
,,,,,,,
,"JSObject.call()",,"y",,,,"Shut off the whole JSObject"
,"JSObject.eval()",,"y",,,,
,"JSObject.getMember()",,"y",,,,
,"JSObject.getSlot()",,"y",,,,
,"JSObject.getWindow()",,"y",,,,
,"JSObject.removeMember()",,"y",,,,
,"JSObject.setMember()",,"y",,,,
,"JSObject.setSlot()",,"y",,,,
,"JSObject.toString",,"y",,,,
,,,,,,,
,"KeyEvent.altKey","y",,,,,
,"KeyEvent.charCode","y",,,,,
,"KeyEvent.ctrlKey","y",,,,,
,"KeyEvent.keyCode","y",,,,,
,"KeyEvent.shiftKey","y",,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Link.hash",,,"readonly",,,"Caja objects cannot directly make links with innerhtml or createelement calls. Can only create via a DomainTransmitter"
,"Link.host",,,"readonly",,,
,"Link.hostname",,,"readonly",,,
,"Link.href",,,"readonly",,,
,"Link.pathname",,,"readonly",,,
,"Link.port",,,"readonly",,,
,"Link.protocol",,,"readonly",,,
,"Link.accessKey",,"y",,,,
,"Link.charset",,,"readonly",,,
,"Link.coords",,"y",,,,"???"
,"Link.hreflang",,,"readonly",,,
,"Link.name",,,"readonly",,,
,"Link.rel",,,"readonly",,,
,"Link.rev",,,"readonly",,,
,"Link.shape",,,"readonly",,,
,"Link.tabIndex",,,"readonly",,,
,"Link.target",,,"readonly",,,
,"Link.type",,,"readonly",,,
,"Link.blur()","y",,,,,
,"Link.focus()",,"y",,,,
,"Link.onclick","y",,,,,
,"Link.onmouseout","y",,,,,
,"Link.onmouseover","y",,,,,
,,,,,,,
,"Location.hash",,,"readonly",,,"If a powerbox wants to give a caja object the power to change pages, it simply needs to create the trivial function changeLocation() and hand it over"
,"Location.host",,,"readonly",,,
,"Location.hostname",,,"readonly",,,
,"Location.href",,,"readonly",,,
,"Location.pathname",,,"readonly",,,
,"Location.port",,,"readonly",,,
,"Location.protocol",,,"readonly",,,
,"Location.search",,,"readonly",,,
,"Location.reload()","y",,,,,"if one has the location obj, it is a reasonable power to be able to reload. A caja object should only be able to get even this weakened location object from the powerbox"
,"Location.replace()",,"y",,,,
,,,,,,,
,"MimeType.description","y",,,,,"These are all readonly according to the documentation"
,"MimeType.enabledPlugin","y",,,,,
,"MimeType.suffixes","y",,,,,
,"MimeType.type","y",,,,,
,,,,,,,
,"MouseEvent.altKey","y",,,,,
,"MouseEvent.button","y",,,,,
,"MouseEvent.clientX","y",,,,,
,"MouseEvent.clientY","y",,,,,
,"MouseEvent.ctrlKey","y",,,,,
,"MouseEvent.metaKey","y",,,,,
,"MouseEvent.relatedTarget",,"y",,,,"see sealedRelatedTarget"
,"MouseEvent.screenX","y",,,,,
,"MouseEvent.screenY","y",,,,,
,"MouseEvent.shiftKey","y",,,,,
,"MouseEvent.initMouseEvent()",,,"typeArg must be a valid type, the relatedtargetArg must be null",,,"Creating mouse events should be done rarely; it appears useless unless one can dispatchEvent, which is a power one can only get from the powerbox"
,"MouseEvent.sealedRelatedTarget()",,,,"y",,"returns the related target in a box that can be opened using Node.unseal(node)"
,,,,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Navigator.appCodeName","y",,,,,
,"Navigator.appName","y",,,,,
,"Navigator.appVersion","y",,,,,
,"Navigator.cookieEnabled","y",,,,,
,"Navigator.mimeTypes[]",,,"readonly",,,
,"Navigator.platform","y",,,,,
,"Navigator.plugins[]",,,"readonly",,,
,"Navigator.userAgent","y",,,,,
,"Navigator.javaEnabled()","y",,,,,
,,,,,,,
,"Node.attributes[]","y",,,,,
,"Node.childNodes[]","y",,,,,
,"Node.firstChild","y",,,,,
,"Node.lastChild","y",,,,,
,"Node.localName",,"y",,,,"no namespaces"
,"Node.namespaceURI",,"y",,,,
,"Node.nextSibling",,"y",,,,"gives reference to node outside the subtree"
,"Node.nodeName","y",,,,,"says it is readonly"
,"Node.nodeType","y",,,,,
,"Node.nodeValue",,,"sanitize when writing to safe text",,,
,"Node.ownerDocument",,"y",,,,"replaced with nodeCreator for node creation functions"
,"Node.parentNode",,"y",,,,
,"Node.prefix",,"y",,,,"no xml"
,"Node.previousSibling",,"y",,,,
,"Node.xml",,"y",,,,
,"Node.appendChild()","y",,,,,
,"Node.cloneNode()","y",,,,,"If opaque children are ever implemented, this will probably need to be modified with a wrapper that does not clone the opaque child."
,"Node.hasAttributes()","y",,,,,
,"Node.hasChildNodes()","y",,,,,
,"Node.insertBefore()","y",,,,,
,"Node.isSupported()",,,"validate feature name to Core, HTML, StyleSheets, CSS, CSS2, Events, UIEvents, MouseEvents, HTMLEvents, MutationEvents, Range, Traversal, Views. Validate version to 1.0, 2.0, null, """".",,,
,"Node.normalize()","y",,,,,
,"Node.removeChild()","y",,,,,
,"Node.replaceChild()","y",,,,,
,"Node.selectNodes()",,"y",,,,"no xpath"
,"Node.selectSingleNode()",,"y",,,,"no xpath"
,"Node.transformNode()",,"y",,,,"cannot allow xslt to manufacture things that do not conform to taming requirements"
,"Node.transformNodeToObject()",,"y",,,,
,"Node.nodeCreator",,,,"y",,"returns an object of type CajaNodeCreator as described below"
,"Node.seal()",,,,"y",,"returns a sealed version of this node, which can be unsealed using node.unseal(sealedNode)"
,"Node.unseal(sealedNode)",,,,"y",,"If the node receiving the unseal message is either the sealedNode or an ancestor of the sealed node (indicating that the recipient already has authority over the sealedNode), this returns the node that was sealed. Otherwise it returns null."
,"Node.createRange(startChild, endChild)",,,,"y",,"creates a Range from the start node to the end node. The start and end nodes must both be children of the node upon which this function was invoked."
,"Node.getElementById(id)",,,,"y",,"Searches the subtree for which this node is the root, looking for the id. If there is a single match, return it. If there are multiple matches, throw an exception."
,"Node.getElementsById(id)",,,,"y",,"Searches the subtree for which this node is the root, looking for the id. Returns an array of all the nodes with this id"
,,,,,,,
,,,,,,,
,,,,,,,
,"NodeList.length","y",,,,,
,"NodeList.item()","y",,,,,
,"NodeList.unseal(sealedNode)",,,,"y",,"If the node sealed in the sealedNode is in the subtree of any of the nodes of the nodeList, return the node."
,,,,,,,
,,,,,,,
,"Option.text",,,"sanitize to pure text",,,
,"Option.value",,,"sanitize to pure text",,,
,"Option.defaultSelected","y",,,,,
,"Option.selected","y",,,,,
,"Option.disabled","y",,,,,
,"Option.HTMLFormElement",,"y",,,,"gives access to form parent"
,"Option.index","y",,,,,
,"Option.label",,,"sanitize to pure text",,,
,,,,,,,
,"Plugin.description","y",,,,,
,"Plugin.filename","y",,,,,
,"Plugin.length","y",,,,,
,"Plugin.name","y",,,,,
,,,,,,,
,"ProcessingInstruction.*",,"y",,,,"no xml"
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Range.collapsed","y",,,,,
,"Range.commonAncestorContainer",,"y",,,,"Could be used to acquire a parent that has not been explicitly authorized."
,"Range.endContainer","y",,,,,
,"Range.endOffset","y",,,,,
,"Range.startContainer","y",,,,,
,"Range.startOffset","y",,,,,
,"Range.cloneContents()","y",,,,,
,"Range.cloneRange()","y",,,,,
,"Range.collapse()","y",,,,,
,"Range.compareBoundaryPoints()","y",,,,,
,"Range.deleteContents()","y",,,,,
,"Range.detach()","y",,,,,
,"Range.extractContents()","y",,,,,
,"Range.insertNode()","y",,,,,
,"Range.selectNode()",,"y",,,,"Using selectNode sets the range to a node subtree. In caja, just pass the node instead"
